"","u","s","m","l","lum"
"M1_BF_BRIG_059_K176529_P1",0.0704677324291821,0.251994667939723,0.297586648460246,0.379950951170849,0.0194862641450054
"M1_BF_BRIG_059_K176529_P2",0.061688662907214,0.17758618358543,0.325003843571339,0.435721309936017,0.0245098298632611
"M1_BF_BRIG_059_K176529_P3",0.0532322587806955,0.119620171678974,0.354394925507888,0.472752644032442,0.0138380284362017
"M1_BF_BRIG_059_K176529_P4",0.0768678590564858,0.198898331010782,0.314546181095627,0.409687628837106,0.00800653268272347
"M1_BF_BRIG_059_K176530_P1",0.0794130943160285,0.265008484927209,0.295205554164471,0.360372866592292,0.0245629224198409
"M1_BF_BRIG_059_K176530_P2",0.0721063069645041,0.216134265439455,0.308029998984136,0.403729428611905,0.0186632675558317
"M1_BF_BRIG_059_K176530_P3",0.0632857163863898,0.148866503431809,0.345499624907965,0.442348155273836,0.0217264675164026
"M1_BF_BRIG_059_K176530_P4",0.0763346832024645,0.176505728020047,0.325716338448123,0.421443250329365,0.00633118745870145
"M1_BF_BRIG_059_K176531_P1",0.077086255064201,0.255920468180226,0.29736313708367,0.369630139671903,0.0186194063323808
"M1_BF_BRIG_059_K176531_P2",0.0567716420031658,0.14728364524794,0.33659962451996,0.459345088228934,0.0203169876252766
"M1_BF_BRIG_059_K176531_P3",0.0537877166432234,0.123779260524129,0.346900039456229,0.475532983376418,0.0167342975598781
"M1_BF_BRIG_059_K176531_P4",0.0758335154733666,0.179838810305152,0.320957061019543,0.423370613201938,0.00675714144212206
"M1_BF_BRIG_059_K176532_P1",0.0786354827034221,0.252913493962645,0.298759007001644,0.369692016332289,0.0194755737867514
"M1_BF_BRIG_059_K176532_P2",0.0562573780272491,0.151612942725117,0.339726892347379,0.452402786900255,0.0171282935301706
"M1_BF_BRIG_059_K176532_P3",0.0567452433325694,0.1274312225789,0.348324325060144,0.467499209028386,0.0197558323921074
"M1_BF_BRIG_059_K176532_P4",0.0711742297726007,0.191484509183108,0.314538072405828,0.422803188638464,0.00857906470665192
